;HeatingEnergy
2010-12-31;1997076.8944511546
2011-12-31;1371318.2648395135
2012-12-31;1551864.0606158515
2013-12-31;1700446.6982091633
2014-12-31;1192398.9370717173
2015-12-31;1226818.8552918439
2016-12-31;1552758.313314866
2017-12-31;1426588.8048719403
