;HeatingEnergy
2010-12-31;1644218.858311183
2011-12-31;1289861.3457441179
2012-12-31;1411546.3783614873
2013-12-31;1452659.379672987
2014-12-31;1196991.3288505413
2015-12-31;1289861.3457441179
